Gesture ID,Label,Timestep,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z
4,Hai,16,"-1,54187","-0,49799","14,97094","-4,89572","-2,02698","1,22226"
4,Hai,17,"2,64559","-1,76213","19,99637","-2,70699","-3,33744","1,20974"
4,Hai,18,"4,75249","0,7829","22,75449","0,94328","-3,62123","0,18279"
4,Hai,19,"2,51152","2,05662","17,81047","3,24418","-0,14282","-1,57613"
4,Hai,20,"-0,7829","0,89543","9,60075","4,68734","2,64411","-2,85115"
4,Hai,21,"-2,52588","-0,59616","2,85389","6,02738","3,8312","-3,37048"
4,Hai,22,"-4,09169","-0,47645","-0,20351","7,45882","4,3953","-3,31"
4,Hai,23,"-7,35259","-1,25217","-3,36146","8,18173","4,98605","-3,41045"
4,Hai,24,"-8,18338","1,80044","-15,07868","7,34664","4,85575","-2,16687"
4,Hai,25,"-7,54413","2,54504","-20,70745","4,24022","3,69424","0,17746"
4,Hai,26,"-10,14423","6,45716","-21,48078","-1,33444","-0,05596","0,95074"
4,Hai,27,"-7,37654","3,20584","-11,00375","-3,97828","-4,61993","0,61606"
4,Hai,28,"-4,84826","-0,9074","-6,34703","-6,58509","-3,39207","0,85455"
4,Hai,29,"-2,22182","-3,96719","-3,08134","-8,06262","-2,71685","1,35923"
4,Hai,30,"-0,64883","-4,81713","0,55545","-8,47537","-3,0502","1,66459"
4,Hai,31,"0,60094","-3,00472","12,32774","-7,81828","-3,8336","1,98968"
4,Hai,32,"0,85712","-0,9074","21,02827","-6,10945","-3,19648","2,00726"
4,Hai,33,"3,37822","-0,06225","29,84133","-2,54418","-2,80079","1,3507"
4,Hai,34,"3,54102","1,07739","26,99702","1,44929","-0,10206","-0,08633"
4,Hai,35,"0,4142","0,72544","17,49683","4,06542","2,53086","-1,1362"
4,Hai,36,"-2,08056","-0,73981","9,25838","5,55201","3,53702","-1,50445"
4,Hai,37,"-2,70545","-1,74058","2,6025","6,46971","3,67745","-1,47993"
4,Hai,38,"-0,40462","-2,16915","-0,80924","7,11588","4,03504","-1,01522"
4,Hai,39,"-1,10612","-0,43574","-5,13796","7,14652","5,13873","-0,348"
4,Hai,40,"-6,89051","2,99515","-10,51055","6,74949","5,18216","-0,2574"
4,Hai,41,"-5,81073","4,9943","-17,42979","5,76971","2,32835","-0,33361"
4,Hai,42,"-8,17141","4,28562","-22,10806","2,42881","0,33201","-0,15375"
4,Hai,43,"-9,34696","4,6663","-20,07778","-2,94974","-1,30993","-0,22276"
